Species,MPa,K
DE,-0.3,37.46312
DE,-0.32,28.339756
DE,-0.35,32.003605
DE,-0.38,30.550328
DE,-0.44,24.782242
DE,-0.45,37.46312
DE,-0.49,32.740303
DE,-0.51,34.375946
DE,-0.88,29.262157
DE,-1.08,26.185891
DE,-1.3,27.422684
DE,-1.49,26.883665
DE,-1.53,22.863547
DE,-1.64,22.300613
DE,-1.64,22.221435
DE,-1.88,29.705239
DE,-1.89,23.881123
DE,-1.9,23.12407
DE,-1.91,23.787574
DE,-1.95,25.647682
DE,-2.08,23.302769
DE,-2.08,25.463739
DE,-2.13,15.807401
DE,-2.13,16.353458
DE,-2.15,19.035717
DE,-2.29,18.170133
DE,-2.35,21.975355
DE,-2.39,7.959894
DE,-2.49,24.603205
DE,-2.64,10.274695
DE,-2.71,7.81025
DE,-2.73,4.474328
DE,-2.82,20.772886
DE,-2.98,5.057622
DE,-3.44,9.820511
DE,-0.83,27.850102
DE,-2.6,12.71368
DE,-0.5,37.46312
DE,-1.31,24.471323
DE,-3.08,10.030993
DE,-0.85,31.309186
DE,-3.44,8.708351
DE,-3.22,12.999747
DE,-1.14,25.799829
DI,-0.5,35.089736
DI,-0.515,33.848445
DI,-0.615,32.934013
DI,-0.635,26.908081
DI,-0.675,48.909421
DI,-0.785,37.721191
DI,-0.805,39.829589
DI,-0.92,31.400499
DI,-1.085,43.312315
DI,-1.13,17.392309
DI,-1.18,28.35692
DI,-1.2,36.375707
DI,-1.295,26.779741
DI,-1.415,40.59696
DI,-1.555,40.492099
DI,-1.58,20.450305
DI,-1.635,19.029235
DI,-1.64,24.611848
DI,-1.725,23.975721
DI,-1.8,19.758148
DI,-1.855,21.357622
DI,-1.89,21.597004
DI,-1.895,30.878916
DI,-2,17.518275
DI,-2.005,17.785667
DI,-2.08,19.577127
DI,-2.215,17.968365
DI,-2.24,13.894768
DI,-2.35,17.858198
DI,-2.36,14.123963
DI,-2.37,14.697181
DI,-2.445,14.884465
DI,-2.465,20.505294
DI,-2.515,24.93078
DI,-2.545,13.286201
DI,-2.63,18.62915
DI,-2.66,22.441378
DI,-2.775,15.120677
DI,-2.905,15.168815
DI,-2.915,23.09172
DI,-2.965,23.477544
DI,-3.015,19.746103
DI,-3.105,12.121376
DI,-3.245,22.885845
DI,-3.25,7.056323
DI,-3.4,27.37658
DI,-4.075,8.433587
DI,-4.125,10.037465
DI,-4.215,12.744927
DI,-4.225,3.70097
DI,-4.575,8.141332
DI,-5.45,7.370123
DI,-5.85,3.395071
GL,-0.52,36.35493
GL,-0.575,22.195042
GL,-0.585,27.587622
GL,-0.65,27.93757
GL,-0.68,28.490092
GL,-0.72,35.198786
GL,-0.75,47.651526
GL,-0.9,38.557523
GL,-0.955,33.724992
GL,-0.975,28.727493
GL,-1.05,39.05678
GL,-1.1,31.954452
GL,-1.14,50.743883
GL,-1.21,24.306507
GL,-1.445,25.869873
GL,-1.655,21.488387
GL,-1.69,27.183232
GL,-1.715,33.675255
GL,-1.755,28.867327
GL,-2.1,31.635127
GL,-2.21,17.658847
GL,-2.305,17.220152
GL,-2.4,15.566744
GL,-2.46,19.077408
GL,-1.98,25.868431
GL,-2.16,14.410828
GL,-2.435,24.067738
GL,-0.51,24.562381
GL,-0.475,20.349049
GL,-2.26,10.792447
GL,-0.63,32.451176
GL,-0.555,27.552911
GL,-0.595,54.155573
GL,-0.73,41.517221
GL,-0.735,43.395436
GL,-2.85,13.51263
GL,-2.315,10.041728
GL,-2.595,20.632241
GL,-2.775,17.429156
GL,-3.125,10.204862
GL,-3,9.878906
GL,-3.3,8.342449
GL,-3.7,6.937984
GL,-3.275,13.870193
GL,-3.475,2.197238
GL,-3.425,5.964967
GL,-3.95,11.146846
IA,-0.3,42.17348
IA,-0.44,37.503266
IA,-0.575,41.402845
IA,-0.605,61.465677
IA,-0.62,38.526012
IA,-0.65,39.072721
IA,-0.7,27.637148
IA,-0.8,46.45859
IA,-0.825,30.52931
IA,-1.035,53.544925
IA,-1.055,46.69946
IA,-1.155,35.924673
IA,-1.35,34.222595
IA,-1.6,31.998604
IA,-1.63,36.257348
IA,-1.725,36.684742
IA,-1.925,45.605586
IA,-2.1,35.321814
IA,-2.175,33.807749
IA,-2.275,26.451309
IA,-2.325,26.174066
IA,-2.325,36.005474
IA,-2.375,39.633331
IA,-2.4,37.226343
IA,-2.425,39.962789
IA,-2.65,28.15457
IA,-2.75,42.931619
IA,-2.75,22.795907
IA,-2.775,26.995363
IA,-2.8,49.249554
IA,-2.8,36.00322
IA,-2.95,15.56903
IA,-2.975,27.123745
IA,-3.05,39.379982
IA,-3.125,20.205508
IA,-3.15,17.755611
IA,-3.2,23.028341
IA,-3.225,11.85824
IA,-3.25,25.827671
IA,-3.425,12.093229
IA,-3.45,9.670215
IA,-3.5,11.613108
IA,-3.6,20.10984
IA,-3.625,16.521842
IA,-3.8,25.936907
IA,-3.8,3.566894
IA,-3.825,14.236458
IA,-3.85,4.353335
IA,-3.85,2.715544
IA,-4.025,15.200125
IA,-4.1,14.262526
IA,-4.225,10.698536
IA,-4.225,10.313011
IA,-4.25,11.003423
IA,-4.25,10.595889
IA,-4.275,11.789846
IA,-4.275,10.378902
MI,-0.305,29.76509
MI,-0.55,22.085945
MI,-0.65,21.137708
MI,-0.86,20.738815
MI,-0.875,27.124315
MI,-0.955,18.950001
MI,-0.965,20.732166
MI,-1.21,16.977847
MI,-1.295,24.384124
MI,-1.32,24.318196
MI,-1.335,25.829606
MI,-1.37,17.14003
MI,-1.495,20.175952
MI,-1.505,18.993302
MI,-1.525,21.11662
MI,-1.555,19.775033
MI,-1.665,15.09082
MI,-1.805,22.349428
MI,-1.805,22.349428
MI,-1.905,12.001707
MI,-2.145,15.90968
MI,-2.225,15.668555
MI,-2.31,17.412037
MI,-2.58,5.884615
MI,-2.595,8.350222
MI,-3.075,7.485409
MI,-3.225,11.442936
MI,-3.365,16.432769
MI,-3.375,13.196596
MI,-3.4,9.248589
MI,-4.2,10.428032
MI,-4.425,8.505561
MI,-0.775,21.89413
MI,-1,17.050329
MI,-4.4,7.386507
MI,-2.225,14.22251
MI,-1.56,19.407304
MI,-2.355,11.468405
MI,-2.48,11.809443
MI,-3.15,7.836748
MI,-2.31,10.896661
MI,-2.94,9.874197
MI,-2.955,7.060905
MI,-2.975,12.015336
MI,-4.025,8.732767
MI,-3.525,9.386613
MI,-3.4,5.120867
MI,-3.275,6.307488
MI,-3.875,5.522801
MI,-4.4,6.327202
MI,-3.575,8.001159
MI,-3.675,3.878112
MM,-0.325,25.893257
MM,-0.375,24.303036
MM,-0.425,26.266843
MM,-0.43,29.988825
MM,-0.44,30.973898
MM,-0.45,32.858041
MM,-0.45,28.630021
MM,-0.525,31.26092
MM,-0.55,30.889489
MM,-0.6,31.333281
MM,-0.725,30.862489
MM,-0.775,30.443732
MM,-0.84,30.1751
MM,-0.88,30.684922
MM,-1.15,26.408363
MM,-1.18,40.470553
MM,-1.21,32.524191
MM,-1.41,33.11766
MM,-1.6,22.784449
MM,-1.8,29.219217
MM,-1.9,24.024642
MM,-2.025,14.825856
MM,-2.05,27.447475
MM,-2.075,27.574988
MM,-2.15,23.18737
MM,-2.15,23.451021
MM,-2.225,21.294535
MM,-2.3,19.399191
MM,-2.35,25.037091
MM,-2.375,27.174854
MM,-2.4,22.969665
MM,-2.53,20.468819
MM,-2.65,20.293564
MM,-2.65,21.736182
MM,-2.8,19.309718
MM,-2.85,20.824534
MM,-3.1,14.388993
MM,-3.17,8.048555
MM,-3.225,8.738971
MM,-3.3,6.672668
MM,-3.33,4.565585
MM,-3.475,10.790984
MM,-3.64,9.859529
MM,-3.8,8.566
MM,-2.9,8.692134
MM,-3.9,2.99223
MM,-3.4,9.320132
MM,-3.875,5.323706
MM,-4.6,3.978781
MM,-4.225,1.085542
MM,-5.225,0.989053
MM,-4.2,10.026505
MM,-4.825,5.532218
MM,-5.575,4.891643
MM,-4.85,6.965534
MU,-0.59,37.413305
MU,-0.65,33.133065
MU,-0.89,37.590854
MU,-1.01,36.222642
MU,-1.15,29.223062
MU,-1.22,30.15415
MU,-1.25,24.531985
MU,-1.255,27.060668
MU,-1.3,29.494748
MU,-1.525,26.708176
MU,-1.62,23.700359
MU,-1.775,28.013096
MU,-1.78,20.620224
MU,-1.95,21.166431
MU,-2.025,26.328682
MU,-2.085,22.738852
MU,-2.11,17.991739
MU,-2.15,22.289884
MU,-2.17,16.971106
MU,-2.21,21.513833
MU,-2.25,20.834778
MU,-2.32,22.846554
MU,-2.37,28.157756
MU,-2.4,22.441868
MU,-2.405,26.883238
MU,-2.47,24.228112
MU,-2.515,23.89822
MU,-2.52,23.448601
MU,-2.555,22.499483
MU,-2.57,19.987703
MU,-2.585,27.351945
MU,-2.68,24.991631
MU,-2.79,15.722721
MU,-2.815,15.390564
MU,-2.9,18.616773
MU,-2.925,17.304814
MU,-2.95,14.860432
MU,-2.985,15.061226
MU,-3.16,18.319073
MU,-3.16,17.948704
MU,-3.195,17.120481
MU,-3.2,13.093522
MU,-3.275,9.989124
MU,-3.325,14.192919
MU,-3.375,12.169139
MU,-3.375,8.731829
MU,-3.595,12.332824
MU,-3.625,11.368524
MU,-3.725,6.866546
MU,-3.775,10.873933
MU,-3.975,7.984515
MU,-4,6.49568
MU,-4.3,7.037292
MU,-4.35,8.647947
MU,-4.575,6.350915
OB,-0.45,21.057676
OB,-0.475,17.984015
OB,-0.55,21.380236
OB,-0.725,27.039793
OB,-0.75,22.693224
OB,-0.8,20.729875
OB,-1.1,15.761272
OB,-1.1,24.043202
OB,-1.125,21.42945
OB,-1.125,18.492736
OB,-1.2,29.202703
OB,-1.2,16.548989
OB,-1.225,24.679373
OB,-1.225,18.814267
OB,-1.275,19.850109
OB,-1.325,15.801491
OB,-1.35,20.179138
OB,-1.475,15.302516
OB,-1.475,13.858914
OB,-1.475,21.149945
OB,-1.475,21.114928
OB,-1.5,13.830301
OB,-1.625,13.659325
OB,-1.625,14.667834
OB,-1.625,16.332802
OB,-1.7,15.214782
OB,-1.8,13.36148
OB,-2.225,10.192527
OB,-2.325,12.205768
OB,-2.375,10.790752
OB,-2.525,11.247511
OB,-2.55,12.223303
OB,-2.575,13.582823
OB,-2.6,8.684498
OB,-3,9.594713
OB,-3.275,2.799062
OB,-3.35,7.30657
OB,-3.45,8.855911
OB,-3.725,7.445924
OB,-3.95,10.484248
OB,-3.975,8.791189
OB,-4.825,9.722767
OB,-2.35,16.874336
OB,-2.2,14.917559
OB,-1.875,14.904308
OB,-2.05,20.645307
OB,-2.075,20.448609
OB,-0.525,16.653949
OB,-0.635,18.195257
OB,-0.63,11.323418
OB,-3.35,8.055064
OB,-3.75,6.956648
PN,-0.4,39.064391
PN,-0.45,32.619569
PN,-0.475,26.182799
PN,-0.475,44.588768
PN,-0.475,34.338096
PN,-0.5,36.857683
PN,-0.56,33.969598
PN,-0.57,31.574708
PN,-0.575,41.246312
PN,-0.575,33.392729
PN,-0.65,38.056036
PN,-0.665,39.353049
PN,-0.9,29.663113
PN,-1.06,30.125536
PN,-1.175,27.504013
PN,-1.2,24.37649
PN,-1.3,23.745071
PN,-1.4,25.112688
PN,-1.475,26.072463
PN,-1.5,21.540543
PN,-1.575,32.771767
PN,-1.6,23.221099
PN,-1.675,24.355599
PN,-1.7,21.191141
PN,-1.75,15.571197
PN,-1.8,18.608448
PN,-1.925,20.211466
PN,-2.025,18.133964
PN,-2.025,20.460623
PN,-2.25,19.886916
PN,-2.25,20.82393
PN,-2.35,11.934277
PN,-2.45,13.687224
PN,-2.475,23.353956
PN,-2.475,14.979169
PN,-2.48,8.923821
PN,-2.6,18.65041
PN,-2.63,23.385156
PN,-2.65,17.837162
PN,-2.7,13.268108
PN,-2.75,12.910164
PN,-2.81,13.958493
PN,-2.92,15.548578
PN,-2.95,19.627223
PN,-3.05,17.179463
PN,-3.11,12.408964
PN,-3.3,13.624827
PN,-3.38,12.694172
PN,-3.44,14.81922
PN,-3.51,5.372736
PN,-3.775,16.66956
PN,-4.075,14.695024
PN,-4.3,6.310154
PN,-4.3,4.569267
PN,-4.1,12.274964
PN,-6.225,5.801882
PN,-5.05,11.529322
PN,-5.15,3.860013
PN,-5.25,5.314759
PN,-4.425,16.659392
PS,-0.29,28.787815
PS,-0.32,16.01061
PS,-0.32,22.655613
PS,-0.44,23.36639
PS,-0.47,24.889915
PS,-0.5,16.953534
PS,-0.59,27.42166
PS,-0.6,27.809878
PS,-0.6,21.164875
PS,-0.7,24.803018
PS,-0.79,23.95869
PS,-0.97,25.373209
PS,-1.01,22.225006
PS,-1.06,14.577899
PS,-1.06,18.159945
PS,-1.16,20.301877
PS,-1.19,23.173899
PS,-1.2,19.101612
PS,-1.23,17.092603
PS,-1.38,14.894646
PS,-1.45,15.252673
PS,-1.6,13.990542
PS,-1.62,15.372418
PS,-1.77,16.499336
PS,-1.8,19.663687
PS,-1.82,13.383774
PS,-1.9,14.211898
PS,-2.075,18.012146
PS,-2.15,5.159863
PS,-2.225,18.549537
PS,-2.25,18.635566
PS,-2.25,10.740252
PS,-2.25,13.298696
PS,-2.3,12.974213
PS,-2.325,16.014815
PS,-2.375,7.47659
PS,-2.5,7.528062
PS,-2.6,9.13746
PS,-2.65,5.409475
PS,-2.7,9.484603
PS,-2.7,7.785828
PS,-2.725,13.303826
PS,-2.75,12.445045
PS,-2.8,9.339615
PS,-2.8,15.66636
PS,-2.875,4.714868
PS,-2.9,3.691127
PS,-2.95,4.594832
PS,-3.15,2.568993
RR,-0.44,34.720512
RR,-0.46,40.338768
RR,-0.51,34.235226
RR,-0.52,39.133384
RR,-0.61,36.280129
RR,-0.63,35.216166
RR,-0.65,42.081837
RR,-0.67,32.254059
RR,-0.73,35.653362
RR,-0.74,33.313451
RR,-0.83,32.120944
RR,-0.85,42.91224
RR,-0.91,28.12977
RR,-0.95,31.055129
RR,-1.04,28.142086
RR,-1.09,26.227785
RR,-1.11,34.111053
RR,-1.15,28.565113
RR,-1.2,32.141803
RR,-1.26,26.54185
RR,-1.31,23.880987
RR,-1.31,22.673294
RR,-1.4,22.354723
RR,-1.43,18.854886
RR,-1.51,25.508896
RR,-1.62,17.197639
RR,-1.65,22.367278
RR,-1.8,12.685866
RR,-1.82,20.032828
RR,-1.83,18.299544
RR,-1.89,20.25395
RR,-1.89,17.736052
RR,-1.94,17.165546
RR,-1.96,5.992591
RR,-1.99,17.594188
RR,-2.03,5.170704
TR,-0.31,26.543942
TR,-0.475,24.192301
TR,-0.48,27.431892
TR,-0.49,31.302736
TR,-0.58,32.724623
TR,-0.66,36.338425
TR,-0.94,24.331079
TR,-0.98,28.791692
TR,-1.01,22.63405
TR,-1.03,32.380439
TR,-1.05,27.826454
TR,-1.18,25.382493
TR,-1.24,20.165209
TR,-1.31,18.862175
TR,-1.42,19.327673
TR,-1.49,28.082926
TR,-1.66,15.195552
TR,-1.79,21.672445
TR,-1.95,18.78431
TR,-2.07,23.209264
TR,-2.12,22.801204
TR,-2.24,19.385982
TR,-2.25,15.648455
TR,-2.4,13.461663
TR,-2.44,11.247902
TR,-2.53,15.340859
TR,-2.68,17.038304
TR,-2.72,20.31571
TR,-2.78,20.485361
TR,-2.88,16.541731
TR,-2.965,11.271405
TR,-3.06,16.104057
TR,-3.085,14.079423
TR,-3.12,15.178665
TR,-3.24,12.075254
TR,-3.5,8.812126
TR,-3.55,12.915926
TR,-3.65,15.025488
TR,-4.85,5.846518
TR,-4.9,6.730269
TR,-4.45,9.72804
TR,-5.4,5.554064
ME,-0.31,18.713386
ME,-0.35,19.333789
ME,-0.535,19.674583
ME,-0.725,19.230285
ME,-0.75,16.549595
ME,-1.07,14.47861
ME,-1.085,17.141829
ME,-1.09,11.068202
ME,-1.275,12.168565
ME,-1.85,12.049918
ME,-1.95,11.684564
ME,-2.2,7.165747
ME,-2.525,5.189906
ME,-2.525,6.881788
ME,-2.65,7.636385
ME,-2.94,9.779839
ME,-2.925,7.360669
ME,-3.05,10.495273
ME,-3.25,9.899324
ME,-3.3,12.726438
ME,-3.475,11.56968
ME,-3.725,13.220227
ME,-3.775,14.620452
ME,-4.05,7.442984
ME,-4.125,10.189047
ME,-4.375,13.226151
ME,-4.475,9.95925
ME,-4.7,6.956872
ME,-4.9,8.968793
PO,-0.38,37.039663
PO,-0.41,17.159222
PO,-0.41,17.159222
PO,-0.43,45.174463
PO,-0.44,24.856251
PO,-0.44,24.856251
PO,-0.45,41.730693
PO,-0.455,42.037271
PO,-0.49,19.803482
PO,-0.49,19.803482
PO,-0.49,27.785233
PO,-0.505,35.361916
PO,-0.55,34.484913
PO,-0.55,34.484913
PO,-0.67,32.893445
PO,-0.74,36.419552
PO,-0.87,29.530779
PO,-0.88,26.246225
PO,-0.89,34.437664
PO,-1.04,34.096135
PO,-1.04,26.22542
PO,-1.21,31.95268
PO,-1.27,25.189031
PO,-1.42,29.035115
PO,-1.48,24.050595
PO,-1.51,23.653693
PO,-1.555,20.515575
PO,-1.63,24.64772
PO,-1.7,26.257788
PO,-1.89,18.446622
PO,-1.99,16.847484
PO,-2,16.868605
PO,-2.1,15.182464
PO,-2.11,16.464563
PO,-2.22,20.491189
PO,-2.28,18.642594
PO,-2.41,21.015411
PO,-2.46,17.609982
PO,-2.55,17.802874
PO,-2.56,18.597957
PO,-2.6,19.499296
PO,-2.69,13.929269
PO,-2.76,14.274983
PO,-2.85,13.891015
PO,-2.9,12.80163
PO,-2.95,7.216945
PO,-3.07,12.301695
PO,-3.17,7.685281
PO,-3.22,14.485752
PO,-3.25,3.804622
PO,-3.27,13.863439
PO,-3.29,13.200854
PO,-3.31,4.23291
PO,-3.32,14.126496
PO,-3.38,5.22708
PO,-3.62,8.775534
PO,-3.69,9.597548
PO,-3.79,6.495346
PO,-3.89,10.485292
PO,-3.94,2.905302
PO,-4.07,1.278005
ME-n,-0.31,12.757931
ME-n,-0.35,13.180894
ME-n,-0.535,13.413231
ME-n,-0.725,13.110329
ME-n,-0.75,11.282758
ME-n,-1.07,9.870854
ME-n,-1.085,11.686516
ME-n,-1.09,7.545794
ME-n,-1.275,8.295972
ME-n,-1.85,8.215083
ME-n,-1.95,7.966002
ME-n,-2.2,4.885279
ME-n,-2.525,3.538241
ME-n,-2.525,4.691689
ME-n,-2.65,5.206138
ME-n,-2.94,5.839261
ME-n,-2.925,4.402969
ME-n,-3.05,6.09712
ME-n,-3.25,5.455465
ME-n,-3.3,7.017848
ME-n,-3.475,6.161354
ME-n,-3.725,6.852625
ME-n,-3.775,7.577616
ME-n,-4.05,3.495721
ME-n,-4.125,4.960724
ME-n,-4.375,6.467913
ME-n,-4.475,4.695429
ME-n,-4.7,3.10163
ME-n,-4.9,4.042336
RR-1,-0.44,34.720512
RR-1,-0.46,40.338768
RR-1,-0.51,34.235226
RR-1,-0.52,39.133384
RR-1,-0.61,36.280129
RR-1,-0.63,35.216166
RR-1,-0.65,42.081837
RR-1,-0.67,32.254059
RR-1,-0.73,35.653362
RR-1,-0.74,33.313451
RR-1,-0.83,32.120944
RR-1,-0.85,42.91224
RR-1,-0.91,28.12977
RR-1,-0.95,31.055129
RR-1,-0.98,30.828175
RR-1,-1.04,28.142086
RR-1,-1.09,26.227785
RR-1,-1.11,34.111053
RR-1,-1.15,28.565113
RR-1,-1.2,32.141803
RR-1,-1.26,26.54185
RR-1,-1.27,24.844577
RR-1,-1.31,23.880987
RR-1,-1.31,22.673294
RR-1,-1.4,22.354723
RR-1,-1.43,18.854886
RR-1,-1.51,25.508896
RR-1,-1.62,17.197639
RR-1,-1.65,22.367278
RR-1,-1.8,12.685866
RR-1,-1.83,5.657793
RR-1,-1.88,6.185961
RR-1,-1.96,6.060216
RR-1,-2.03,5.229489
RR-1,-2.13,10.8898
RR-1,-2.2,15.819898
RR-1,-2.2,31.258881
RR-1,-2.25,13.243837
RR-1,-2.28,19.62541
RR-1,-2.32,12.615682
RR-1,-2.32,15.221967
RR-1,-2.39,23.345702
RR-1,-2.45,15.829553
RR-1,-2.45,32.899071
RR-1,-2.48,20.174516
RR-1,-2.51,13.404163
RR-1,-2.52,15.377685
RR-1,-2.6,29.868884
RR-1,-2.7,14.153957
RR-1,-2.7,26.410059
RR-1,-2.75,12.495127
RR-1,-3.17,18.548528
RR-1,-3.19,17.94998
RR-1,-3.28,21.449892
RR-1,-3.36,11.928289
RR-1,-3.37,17.802182
RE,-0.325,15.849405
RE,-0.42,19.782926
RE,-0.425,13.743653
RE,-0.45,17.192379
RE,-0.45,14.980143
RE,-0.525,16.356714
RE,-0.55,21.092237
RE,-0.56,22.071572
RE,-0.585,23.052613
RE,-0.6,16.394575
RE,-0.635,20.81739
RE,-0.64,20.105747
RE,-0.725,16.148242
RE,-0.745,20.80543
RE,-0.77,17.999304
RE,-0.775,15.393118
RE,-0.775,15.929135
RE,-0.815,20.091667
RE,-0.825,23.245117
RE,-0.825,22.889842
RE,-1,21.848624
RE,-1.025,15.741295
RE,-1.05,22.371009
RE,-1.1,13.519615
RE,-1.125,18.1031
RE,-1.225,18.808652
RE,-1.3,14.49768
RE,-1.425,19.144179
RE,-1.425,17.246927
RE,-1.425,19.144179
RE,-1.45,21.483248
RE,-1.45,17.599579
RE,-1.475,23.09685
RE,-1.525,15.138396
RE,-1.55,19.025164
RE,-1.625,13.392469
RE,-1.65,19.152556
RE,-1.65,17.755761
RE,-1.65,9.871006
RE,-1.7,11.483933
RE,-1.7,16.613135
RE,-1.7,15.387204
RE,-1.7,14.829996
RE,-1.75,15.127099
RE,-1.85,13.646132
RE,-1.85,16.343915
RE,-1.875,19.761873
RE,-1.925,14.683446
RE,-1.95,12.698207
RE,-2,12.387944
RE,-2,14.291184
RE,-2.05,11.337242
RE,-2.075,12.614427
RE,-2.075,12.16772
RE,-2.075,6.13887
RE,-2.1,6.86197
RE,-2.125,6.900359
RE,-2.125,6.877809
RE,-2.15,9.224624
RE,-2.175,13.068819
RE,-2.2,13.081611
RE,-2.2,11.875044
RE,-2.2,8.430286
RE,-2.225,7.605257
RE,-2.25,8.556805
RE,-2.275,12.763906
RE,-2.3,5.747163
RE,-2.3,6.445965
RE,-2.375,10.621879
RE,-2.525,2.638259
RE,-2.55,4.584588
RE,-2.625,7.33499
RE,-2.675,6.510691
RE,-2.7,5.817065
RE,-2.75,6.637093
RE,-2.75,2.751634
RE,-2.775,6.010869
RE,-2.8,5.266014
RE,-2.875,2.557412
RE,-2.925,4.085995
RE,-3.2,2.561081
RE,-3.225,2.614011
RE,-3.3,5.835332
